   1.8   1.600     -0.03657381
   1.8   1.700      0.00748908
   1.8   1.800      0.00949440
   1.8   1.900     -0.00193644
   1.8   2.000      0.00565860
   1.8   2.100      0.03061995
   1.8   2.200     -0.05449884
   1.8   2.300      0.03398909
   1.8   2.400      0.02313413
   1.8   2.500     -0.04207374
   1.8   2.600      0.04277294
   1.8   2.700     -0.03041612
   1.8   2.800     -0.04883640
   1.8   2.900     -0.05071548
   1.8   3.000     -0.02969469
   1.8   3.100     -0.05053807
   1.8   3.200      0.03244541

   2.0   1.600     -0.03628609
   2.0   1.700      0.00914321
   2.0   1.800      0.01083989
   2.0   1.900     -0.00403506
   2.0   2.000      0.00275074
   2.0   2.100      0.01980297
   2.0   2.200      0.05529085
   2.0   2.300     -0.00308064
   2.0   2.400     -0.01493267
   2.0   2.500     -0.02179750
   2.0   2.600      0.02577206
   2.0   2.700     -0.03870755
   2.0   2.800     -0.04998687
   2.0   2.900     -0.00732392
   2.0   3.000      0.00932356
   2.0   3.100      0.02355153
   2.0   3.200     -0.03156043

   2.1   1.600     -0.03691922
   2.1   1.700      0.00985865
   2.1   1.800      0.01133062
   2.1   1.900     -0.00459587
   2.1   2.000      0.00205497
   2.1   2.100      0.02336744
   2.1   2.200      0.05527485
   2.1   2.300     -0.00258934
   2.1   2.400     -0.01511771
   2.1   2.500     -0.02294899
   2.1   2.600      0.02140584
   2.1   2.700     -0.03935317
   2.1   2.800     -0.04976057
   2.1   2.900     -0.02007049
   2.1   3.000     -0.01118041
   2.1   3.100     -0.02761007
   2.1   3.200      0.03050735

   2.2   1.600     -0.03802959
   2.2   1.700      0.01052674
   2.2   1.800      0.01164721
   2.2   1.900     -0.00495401
   2.2   2.000      0.00168160
   2.2   2.100     -0.02438637
   2.2   2.200      0.05397787
   2.2   2.300     -0.00073008
   2.2   2.400     -0.01338911
   2.2   2.500     -0.02170505
   2.2   2.600      0.02129455
   2.2   2.700     -0.03965064
   2.2   2.800     -0.04913394
   2.2   2.900     -0.02426930
   2.2   3.000     -0.01897277
   2.2   3.100     -0.02531673
   2.2   3.200      0.02579103

   2.3   1.600     -0.03935927
   2.3   1.700      0.01104085
   2.3   1.800      0.01146412
   2.3   1.900     -0.00509917
   2.3   2.000      0.00160116
   2.3   2.100     -0.02656092
   2.3   2.200     -0.04547174
   2.3   2.300      0.00080790
   2.3   2.400     -0.01147361
   2.3   2.500     -0.01951864
   2.3   2.600     -0.04001786
   2.3   2.700     -0.03981704
   2.3   2.800     -0.04867131
   2.3   2.900     -0.02489132
   2.3   3.000     -0.02124139
   2.3   3.100     -0.02520156
   2.3   3.200      0.02481706

   2.4   1.600     -0.04125771
   2.4   1.700      0.01147090
   2.4   1.800      0.01134698
   2.4   1.900     -0.00509322
   2.4   2.000      0.00175531
   2.4   2.100     -0.02790115
   2.4   2.200     -0.04536500
   2.4   2.300      0.00013183
   2.4   2.400     -0.01056245
   2.4   2.500     -0.01751774
   2.4   2.600     -0.04363476
   2.4   2.700     -0.04419564
   2.4   2.800     -0.04808698
   2.4   2.900     -0.02380685
   2.4   3.000     -0.02101581
   2.4   3.100     -0.02553257
   2.4   3.200      0.02494331

   2.5   1.600     -0.04412907
   2.5   1.700      0.01185005
   2.5   1.800      0.01094603
   2.5   1.900     -0.00488537
   2.5   2.000      0.00206570
   2.5   2.100     -0.02874529
   2.5   2.200     -0.04344093
   2.5   2.300     -0.00319763
   2.5   2.400     -0.01127571
   2.5   2.500     -0.01662248
   2.5   2.600     -0.04634194
   2.5   2.700     -0.04168751
   2.5   2.800     -0.03967853
   2.5   2.900     -0.02200588
   2.5   3.000     -0.01961768
   2.5   3.100     -0.02576249
   2.5   3.200      0.02510699

   2.6   1.600     -0.04471201
   2.6   1.700      0.01230237
   2.6   1.800      0.01023635
   2.6   1.900     -0.00448054
   2.6   2.000      0.00266177
   2.6   2.100     -0.02895690
   2.6   2.200     -0.04539216
   2.6   2.300     -0.00923563
   2.6   2.400     -0.01375765
   2.6   2.500     -0.01708598
   2.6   2.600     -0.04768289
   2.6   2.700     -0.04547822
   2.6   2.800     -0.04782167
   2.6   2.900     -0.02015945
   2.6   3.000     -0.01781270
   2.6   3.100     -0.02572992
   2.6   3.200      0.02505534

   2.7   1.600     -0.04206777
   2.7   1.700      0.00511527
