      1.6   1.40   -109.61443081   -109.05355112   -109.55862029   -109.10936164
      1.6   1.60   -111.25702446   -110.69827394   -111.20098353   -110.75431487
      1.6   1.80   -112.11636116   -111.55755861   -112.06423748   -111.60968229
      1.6   2.00   -112.57367276   -112.01426865   -112.52564680   -112.06229462
      1.6   2.10   -112.71435130   -112.15469291   -112.66782556   -112.20121866
      1.6   2.20   -112.81629181   -112.25650045   -112.77052210   -112.30227016
      1.6   2.30   -112.88946853   -112.32971882   -112.84361921   -112.37556814
      1.6   2.40   -112.94123138   -112.38174462   -112.89436487   -112.42861113
      1.6   2.50   -112.97700925   -112.41805514   -112.92817333   -112.46689106
      1.6   2.60   -113.00081896   -112.44272789   -112.94851072   -112.49503613
      1.6   2.70   -113.01564536   -112.45882552   -112.95841550   -112.51605539
      1.6   2.80   -113.02372359   -112.46868506   -112.95995132   -112.53245733
      1.6   2.90   -113.02674223   -112.47412788   -112.95472929   -112.54614081
      1.6   3.00   -113.02597710   -112.47661670   -112.94512086   -112.55747294
      1.6   3.10   -113.02239330   -112.47737462   -112.93339418   -112.56637374
      1.6   3.20   -113.01674990   -112.47744902   -112.92109313   -112.57310579
      1.6   3.30   -113.00964712   -112.47776411   -112.90850941   -112.57890182
      1.6   3.40   -113.00155364   -112.47923714   -112.89610320   -112.58468759
      1.6   3.50   -112.99284094   -112.48320141   -112.88440862   -112.59163373
      1.6   3.60   -112.98377321   -112.49717415   -112.88141616   -112.59953120
      1.6   3.70   -112.97433061   -112.51112794   -112.87180623   -112.61365232
      1.6   3.80   -112.96486386   -112.52646411   -112.86276444   -112.62856353
      1.6   3.90   -112.95551901   -112.54212607   -112.85460264   -112.64304244
      1.6   4.00   -112.94637190   -112.55764379   -112.84729834   -112.65671734
      1.6   4.10   -112.93746836   -112.57275047   -112.84061393   -112.66960491
      1.6   4.20   -112.92884087   -112.58728306   -112.83479857   -112.68132536
      1.6   4.40   -112.91249553   -112.61426082   -112.82498334   -112.70177301
      1.6   4.60   -112.89743260   -112.63819973   -112.81698852   -112.71864380
      1.6   4.80   -112.88366739   -112.65908934   -112.81045291   -112.73230381
      1.6   5.00   -112.87116457   -112.67711038   -112.80506281   -112.74321214
      1.6   5.20   -112.85985989   -112.69253377   -112.80054437   -112.75184928
      1.6   5.40   -112.84967523   -112.70566110   -112.79670826   -112.75862807
      1.6   5.60   -112.84052823   -112.71679033   -112.79341766   -112.76390090
      1.6   5.80   -112.83233757   -112.72619802   -112.79057208   -112.76796351
      1.6   6.00   -112.82502529   -112.73413144   -112.78808953   -112.77106720
      1.6   7.00   -112.79920957   -112.75826520   -112.77931458   -112.77816019
      1.6   8.00   -112.78619008   -112.76746953   -112.77956258   -112.77409703
      1.6   9.00   -112.78110364   -112.76944251   -112.77973672   -112.77080943
      1.6  10.00   -112.77992032   -112.76848847   -112.77971702   -112.76869176
      1.6  12.00   -112.77967065   -112.76625257   -112.77966725   -112.76625597
      1.6  14.00   -112.77964901   -112.76492418   -112.77964898   -112.76492421
      1.6  16.00   -112.77964219   -112.76398338   -112.77964219   -112.76398338
      1.6  18.00   -112.77963955   -112.76349015   -112.77963955   -112.76349015
      1.6  20.00   -112.77963859   -112.76315416   -112.77963859   -112.76315416

      1.7   1.40   -109.17045068   -108.65703372   -109.11061869   -108.71686571
