1.5      2.10 -112.49426107 -111.71593971 -112.37998031 -111.83022047
1.5      2.20 -112.59453434 -111.81895811 -112.52645431 -111.88703814
1.5      2.30 -112.66556811 -111.89208572 -112.59754183 -111.96011199
1.5      2.40 -112.71515469 -111.94344051 -112.64253688 -112.01605832
1.5      2.50 -112.74889940 -111.97869825 -112.67023365 -112.05736400
1.5      2.60 -112.77087807 -112.00197754 -112.68506850 -112.08778711
1.5      2.70 -112.78407484 -112.01629232 -112.69043096 -112.10993619
1.5      2.80 -112.79070025 -112.02387189 -112.68872284 -112.12584930
1.5      2.90 -112.79104763 -112.05453942 -112.66295261 -112.18263445
1.5      3.00 -112.78910708 -112.08698671 -112.66094334 -112.21515046
1.5      3.10 -112.78451083 -112.11636757 -112.65701382 -112.24386458
1.5      3.20 -112.77801291 -112.14329060 -112.65174177 -112.26956173
1.5      3.30 -112.77019174 -112.16824809 -112.64550973 -112.29293010
1.5      3.40 -112.76148518 -112.19161526 -112.63874707 -112.31435337
1.5      3.50 -112.75222128 -112.21366398 -112.63172782 -112.33415744
1.5      3.60 -112.74264512 -112.23458006 -112.62469496 -112.35253023
1.5      3.70 -112.73294029 -112.25448096 -112.61777303 -112.36964822
1.5      3.80 -112.72324439 -112.27343285 -112.61118322 -112.38549402
1.5      3.90 -112.71365992 -112.29146642 -112.60496108 -112.40016526
1.5      4.00 -112.70426240 -112.30859106 -112.59912730 -112.41372617
1.5      4.10 -112.69510678 -112.32480683 -112.59370820 -112.42620541
1.5      4.20 -112.68623223 -112.34011282 -112.58866991 -112.43767514
1.5      4.40 -112.66942588 -112.36801728 -112.57967458 -112.45776858
1.5      4.60 -112.65396211 -112.39242118 -112.57206531 -112.47431798
1.5      4.80 -112.63986126 -112.41354465 -112.56561333 -112.48779258
1.5      5.00 -112.62708147 -112.43167902 -112.56011556 -112.49864493
1.5      5.20 -112.61554919 -112.44715134 -112.55540536 -112.50729517
1.5      5.40 -112.60517631 -112.46029119 -112.55134272 -112.51412478
1.5      5.60 -112.59587108 -112.47140980 -112.54781262 -112.51946826
1.5      5.80 -112.58754458 -112.48078942 -112.54472145 -112.52361256
1.5      6.00 -112.58011371 -112.48867929 -112.54199534 -112.52679766
1.5      7.00 -112.55391780 -112.51233543 -112.53414642 -112.53210682
1.5      8.00 -112.54116622 -112.52058364 -112.53559931 -112.52615054
1.5      9.00 -112.53680750 -112.52138745 -112.53576688 -112.52242806
1.5     10.00 -112.53584907 -112.51987850 -112.53569045 -112.52003713
1.5     12.00 -112.53563234 -112.51730939 -112.53562908 -112.51731265
1.5     14.00 -112.53559743 -112.51584660 -112.53559740 -112.51584662
1.5     16.00 -112.53558217 -112.51488577 -112.53558217 -112.51488577
1.5     18.00 -112.53557354 -112.51432423 -112.53557354 -112.51432423
1.5     20.00 -112.53556821 -112.51394071 -112.53556821 -112.51394071

1.6      2.10 -112.64655884 -111.93729521 -112.54993992 -112.03391414
1.6      2.20 -112.76875819 -112.06126585 -112.66079097 -112.16923307
1.6      2.30 -112.85629160 -112.15075737 -112.79395688 -112.21309209
1.6      2.40 -112.91807193 -112.21395254 -112.85709093 -112.27493353
1.6      2.50 -112.96090514 -112.25794506 -112.89614769 -112.32270251
1.6      2.60 -112.98969159 -112.28769158 -112.91945024 -112.35793293
1.6      2.70 -113.00800905 -112.30680477 -112.93139981 -112.38341402
1.6      2.80 -113.01849595 -112.31795129 -112.93483238 -112.40161485
1.6      2.90 -113.02312292 -112.32312615 -112.93229838 -112.41395069
1.6      3.00 -113.02338267 -112.32384319 -112.92540866 -112.42181720
1.6      3.10 -113.02041966 -112.32126616 -112.91080402 -112.43088180
1.6      3.20 -113.01362778 -112.36124666 -112.88596648 -112.48890796
1.6      3.30 -113.00670639 -112.38733906 -112.88045300 -112.51359245
1.6      3.40 -112.99864255 -112.41166157 -112.87423802 -112.53606609
1.6      3.50 -112.98982267 -112.43452845 -112.86760739 -112.55674373
1.6      3.60 -112.98053697 -112.45616604 -112.86084348 -112.57585954
1.6      3.70 -112.97100406 -112.47672478 -112.85415375 -112.59357510
1.6      3.80 -112.96138929 -112.49629547 -112.84766435 -112.61002041
1.6      3.90 -112.95181751 -112.51492557 -112.84148348 -112.62525960
1.6      4.00 -112.94238215 -112.53263437 -112.83567991 -112.63933661
1.6      4.10 -112.93315218 -112.54942615 -112.83024204 -112.65233629
1.6      4.20 -112.92417766 -112.56530039 -112.82518822 -112.66428983
1.6      4.40 -112.90712519 -112.59430808 -112.81617299 -112.68526028
1.6      4.60 -112.89138620 -112.61974791 -112.80854669 -112.70258742
1.6      4.80 -112.87700717 -112.64182140 -112.80210198 -112.71672658
1.6      5.00 -112.86396170 -112.66081101 -112.79662901 -112.72814370
1.6      5.20 -112.85218057 -112.67704009 -112.79195984 -112.73726082
1.6      5.40 -112.84157525 -112.69084122 -112.78794566 -112.74447080
1.6      5.60 -112.83205241 -112.70253393 -112.78446642 -112.75011992
1.6      5.80 -112.82352136 -112.71241149 -112.78142715 -112.75450570
1.6      6.00 -112.81589704 -112.72073498 -112.77875236 -112.75787965
1.6      7.00 -112.78879263 -112.74597606 -112.76908762 -112.76568107
