1.6      1.40 -112.28065998 -111.92473417 -112.27906688 -111.92632727     0.02375896
1.6      1.60 -112.59605328 -112.23900527 -112.59510688 -112.23995168     0.01835801
1.6      1.80 -112.75769129 -112.40404643 -112.75730851 -112.40442921     0.01162849
1.6      2.00 -112.83451274 -112.49373246 -112.83445036 -112.49379485     0.00461024
1.6      2.10 -112.85399051 -112.52523030 -112.85398610 -112.52523471     0.00120413
1.6      2.20 -112.86525338 -112.55264512 -112.86524458 -112.55265392    -0.00165848
1.6      2.30 -112.87061736 -112.57755045 -112.87056906 -112.57759875    -0.00376214
1.6      2.40 -112.87178593 -112.60042752 -112.87166722 -112.60054623    -0.00567453
1.6      2.50 -112.87000324 -112.62135282 -112.86979608 -112.62155998    -0.00717409
1.6      2.60 -112.86618853 -112.64034604 -112.86586006 -112.64067451    -0.00860665
1.6      2.70 -112.86102605 -112.65745699 -112.86055715 -112.65792589    -0.00975872
1.6      2.80 -112.85502582 -112.67277106 -112.85438919 -112.67340770    -0.01075289
1.6      2.90 -112.84856659 -112.68639810 -112.84774276 -112.68722193    -0.01152912
1.6      3.00 -112.84192744 -112.69846111 -112.84088929 -112.69949926    -0.01215982
1.6      3.10 -112.83531190 -112.70908766 -112.83403967 -112.71035989    -0.01260825
1.6      3.20 -112.82886673 -112.71840409 -112.82733382 -112.71993700    -0.01292205
1.6      3.30 -112.82269651 -112.72653167 -112.82087354 -112.72835464    -0.01311422
1.6      3.40 -112.81687515 -112.73358452 -112.81472756 -112.73573211    -0.01320082
1.6      3.50 -112.81145443 -112.73966806 -112.80894431 -112.74217818    -0.01318681
1.6      3.60 -112.80647051 -112.74487802 -112.80355390 -112.74779463    -0.01308185
1.6      3.70 -112.80194852 -112.74929976 -112.79857334 -112.75267495    -0.01289602
1.6      3.80 -112.79790592 -112.75300804 -112.79400533 -112.75690863    -0.01264570
1.6      3.90 -112.79407193 -112.75585389 -112.78935985 -112.76056597    -0.01256514
1.6      4.00 -112.79103421 -112.75835688 -112.78566353 -112.76372755    -0.01211013
1.6      4.10 -112.78849142 -112.76031108 -112.78235151 -112.76645099    -0.01163298
1.6      4.20 -112.78643706 -112.76175868 -112.77940378 -112.76879196    -0.01114015
