1.7      3.90 -113.06203921 -112.77049196 -112.96869799 -112.86383318   -0.13601762
1.7      4.00 -113.05546283 -112.78019429 -112.96507638 -112.87058074   -0.12927040
1.7      4.10 -113.04905751 -112.78980646 -112.96186711 -112.87699686   -0.12248280
1.7      4.20 -113.04284731 -112.79920258 -112.95900145 -112.88304845   -0.11575178
1.7      4.40 -113.03106918 -112.81699805 -112.95416847 -112.89389875   -0.10270590
1.7      4.60 -113.02019097 -112.83313168 -112.95031789 -112.90300476   -0.09048846
1.7      4.80 -113.01021840 -112.84744775 -112.94712841 -112.91053774   -0.07930228
1.7      5.00 -113.00112776 -112.85996669 -112.94459062 -112.91650384   -0.06916932
1.7      5.20 -112.99288130 -112.87080427 -112.94247811 -112.92120746   -0.06010483
1.7      5.40 -112.98543451 -112.88012017 -112.94067179 -112.92488289   -0.05206203
1.7      5.60 -112.97873937 -112.88808717 -112.93913209 -112.92769445   -0.04496388
1.7      5.80 -112.97274589 -112.89487403 -112.93779590 -112.92982403   -0.03873137
1.7      6.00 -112.96740319 -112.90063682 -112.93662384 -112.93141618   -0.03328149
1.7      7.00 -112.94873339 -112.91842705 -112.93487517 -112.93228527   -0.01509774
1.7      8.00 -112.93965194 -112.92535114 -112.93541947 -112.92958362   -0.00652794

1.8      0.20 -111.12353501 -110.71668254 -111.12064627 -110.71957128     0.03416061
1.8      0.60 -110.94761235 -110.61334768 -110.94734684 -110.61361320    -0.00941715
1.8      1.00 -111.33584790 -111.05600670 -111.30942374 -111.08243085    -0.08183111
1.8      1.40 -112.31142165 -111.95799416 -112.25111499 -112.01830082    -0.13295540
1.8      1.60 -112.66814218 -112.29487839 -112.60497292 -112.35804765    -0.13995872
1.8      1.80 -112.90850534 -112.52496315 -112.84133871 -112.59212978    -0.14577338
1.8      2.00 -113.05894631 -112.66981961 -112.98633563 -112.74243029    -0.15159961
1.8      2.10 -113.10934486 -112.71850299 -113.03261702 -112.79523083    -0.15524591
1.8      2.20 -113.14724089 -112.75521813 -113.06653229 -112.83592673    -0.15851098
1.8      2.30 -113.17508942 -112.78238300 -113.09056551 -112.86690691    -0.16139638
1.8      2.40 -113.19492098 -112.80203075 -113.10615437 -112.89079736    -0.16430466
1.8      2.50 -113.20840680 -112.81585597 -113.11518422 -112.90907855    -0.16704536
1.8      2.60 -113.21687414 -112.82525210 -113.11980785 -112.92231839    -0.16909002
1.8      2.70 -113.22138108 -112.83134060 -113.12150030 -112.93122139    -0.17023918
1.8      2.80 -113.22281267 -112.83506062 -113.12138680 -112.93648649    -0.17041386
1.8      2.90 -113.22188004 -112.83722080 -113.11938828 -112.93971256    -0.17005834
