1.6   2.10    0.24329626
1.6   2.20   -0.25441907
1.6   2.30   -0.20023401
1.6   2.40   -0.19803843
1.6   2.50   -0.20329382
1.6   2.60   -0.21065512
1.6   2.70   -0.21874587
1.6   2.80   -0.22717939
1.6   2.90   -0.23521860
1.6   3.00   -0.24277104
1.6   3.10   -0.25420969
1.6   3.20   -0.25881733
1.6   3.30   -0.24951414
1.6   3.40   -0.23988873
1.6   3.50   -0.23006274
1.6   3.60   -0.22008466
1.6   3.70   -0.21000641
1.6   3.80   -0.19989848
1.6   3.90   -0.18981688
1.6   4.00   -0.17982113
1.6   4.10   -0.16999648
1.6   4.20   -0.16039374
1.6   4.40   -0.14205316
1.6   4.60   -0.12505998
1.6   4.80   -0.10957120
1.6   5.00   -0.09562944
1.6   5.20   -0.08318985
1.6   5.40   -0.07216419
1.6   5.60   -0.06244068
1.6   5.80   -0.05389954
1.6   6.00   -0.04642238
1.6   7.00   -0.02134042
1.6   8.00   -0.00937714
1.6   9.00   -0.00395777
1.6  10.00   -0.00161771
1.6  12.00   -0.00024274
1.6  14.00   -0.00002227
1.6  16.00    0.00000000
1.6  18.00   -0.00000157
1.6  20.00   -0.00000178
      
1.7   2.10    0.21600698
1.7   2.20    0.21699680
1.7   2.30   -0.22837608
1.7   2.40   -0.17458739
1.7   2.50   -0.17573626
1.7   2.60   -0.18207237
1.7   2.70   -0.18958618
1.7   2.80   -0.19739829
1.7   2.90   -0.20506172
1.7   3.00   -0.22824988
1.7   3.10   -0.23423673
1.7   3.20   -0.23974966
1.7   3.30   -0.25456330
1.7   3.40   -0.24515863
1.7   3.50   -0.23542441
1.7   3.60   -0.22545228
1.7   3.70   -0.21534865
1.7   3.80   -0.20516545
1.7   3.90   -0.19498550
1.7   4.00   -0.18488337
1.7   4.10   -0.17490256
1.7   4.20   -0.16512332
1.7   4.40   -0.14636035
1.7   4.60   -0.12891917
1.7   4.80   -0.11298343
1.7   5.00   -0.09861189
1.7   5.20   -0.08577700
1.7   5.40   -0.07439550
1.7   5.60   -0.06435595
1.7   5.80   -0.05553714
1.7   6.00   -0.04781767
1.7   7.00   -0.02193762
1.7   8.00   -0.00962222
1.7   9.00   -0.00405191
1.7  10.00   -0.00164991
1.7  12.00   -0.00024109
1.7  14.00   -0.00002328
1.7  16.00    0.00000000
1.7  18.00   -0.00000169
1.7  20.00   -0.00000188
      
1.8   2.10    0.19087449
1.8   2.20    0.19172907
1.8   2.30    0.19054241
1.8   2.40    0.20328195
1.8   2.50   -0.16782460
1.8   2.60   -0.18527926
1.8   2.70   -0.19102916
1.8   2.80   -0.19695414
1.8   2.90   -0.20286061
1.8   3.00   -0.20867408
1.8   3.10   -0.21423370
1.8   3.20   -0.21936754
1.8   3.30   -0.22410937
1.8   3.40   -0.22856500
1.8   3.50   -0.24037647
1.8   3.60   -0.23055779
1.8   3.70   -0.22038826
1.8   3.80   -0.21020022
1.8   3.90   -0.19997126
1.8   4.00   -0.18977437
1.8   4.10   -0.17969088
