1.6   1.40   -111.20519666   -110.82540340   -111.20515535   -110.82544471
1.6   1.60   -112.14062831   -111.75707472   -112.14058155   -111.75712148
1.6   1.80   -112.57941069   -112.19263859   -112.57927233   -112.19277695
1.6   2.00   -112.78226490   -112.39520428   -112.78201549   -112.39545369
1.6   2.10   -112.83621627   -112.45053743   -112.83592412   -112.45082958
1.6   2.20   -112.87054779   -112.48831604   -112.87020041   -112.48866342
1.6   2.30   -112.89089129   -112.51595578   -112.89047811   -112.51636896
1.6   2.40   -112.90133711   -112.53997659   -112.90088814   -112.54042556
1.6   2.50   -112.90516266   -112.56429954   -112.90467854   -112.56478365
1.6   2.60   -112.90442424   -112.58814962   -112.90390638   -112.58866747
1.6   2.70   -112.90055285   -112.61061660   -112.89999967   -112.61116978
1.6   2.80   -112.89459250   -112.63128117   -112.89399943   -112.63187425
1.6   2.90   -112.88730323   -112.64999143   -112.88666694   -112.65062772
1.6   3.00   -112.87923809   -112.66674714   -112.87855636   -112.66742886
1.6   3.10   -112.87079834   -112.68163412   -112.87004420   -112.68238827
1.6   3.20   -112.86227325   -112.69478327   -112.86147049   -112.69558604
1.6   3.30   -112.85386881   -112.70634494   -112.85300914   -112.70720461
1.6   3.40   -112.84572965   -112.71647358   -112.84480826   -112.71739496
1.6   3.50   -112.83795531   -112.72531905   -112.83696844   -112.72630592
1.6   3.60   -112.83061231   -112.73302193   -112.82955464   -112.73407960
1.6   3.70   -112.82374297   -112.73971114   -112.82260605   -112.74084806
1.6   3.80   -112.81737179   -112.74550294   -112.81614626   -112.74672847
1.6   3.90   -112.81151010   -112.75050079   -112.81018373   -112.75182716
1.6   4.00   -112.80615968   -112.75479556   -112.80471635   -112.75623888
1.6   4.10   -112.80131573   -112.75846582   -112.79973330   -112.76004825
1.6   4.20   -112.79696973   -112.76157791   -112.79521761   -112.76333003
1.6   4.40   -112.78973801   -112.76632688   -112.78749658   -112.76856831
1.6   4.60   -112.78445884   -112.76927704   -112.78134079   -112.77239508
1.6   4.80   -112.78129506   -112.77036883   -112.77650975   -112.77515414
1.6   5.00   -112.78016593   -112.76970738   -112.77710764   -112.77276567
1.6   5.20   -112.78013715   -112.76820710   -112.77845958   -112.76988468
1.6   5.40   -112.78037927   -112.76665583   -112.77936346   -112.76767164
1.6   5.60   -112.78058962   -112.76530788   -112.77993482   -112.76596267
1.6   5.80   -112.78069868   -112.76418996   -112.78026104   -112.76462759
1.6   6.00   -112.78070992   -112.76327166   -112.78041130   -112.76357028
1.6   7.00   -112.78020912   -112.76073876   -112.78016037   -112.76078752
1.6   8.00   -112.77989604   -112.76006795   -112.77988824   -112.76007574
1.6   9.00   -112.77978201   -112.76003803   -112.77978089   -112.76003915
1.6  10.00   -112.77973244   -112.76017825   -112.77973231   -112.76017838
1.6  12.00   -112.77969016   -112.76047548   -112.77969016   -112.76047548
1.6  14.00   -112.77967198   -112.76057450   -112.77967198   -112.76057450
1.6  16.00   -112.77966231   -112.76081701   -112.77966231   -112.76081701
1.6  18.00   -112.77965664   -112.76100396   -112.77965664   -112.76100396
1.6  20.00   -112.77965304   -112.76114899   -112.77965304   -112.76114899

1.7   1.40   -111.08805991   -110.73061364   -111.08805308   -110.73062046
1.7   1.60   -112.17336507   -111.81201009   -112.17336285   -111.81201232
1.7   1.80   -112.68196846   -112.31718702   -112.68182299   -112.31733248
1.7   2.00   -112.91872557   -112.55251128   -112.91826546   -112.55297138
1.7   2.10   -112.98256302   -112.61646816   -112.98197184   -112.61705934
1.7   2.20   -113.02394148   -112.65887354   -113.02320364   -112.65961138
1.7   2.30   -113.04943416   -112.68693991   -113.04855440   -112.68781968
1.7   2.40   -113.06365985   -112.70659874   -113.06266238   -112.70759621
1.7   2.50   -113.06982685   -112.72314900   -113.06867007   -112.72430579
1.7   2.60   -113.07052958   -112.74106884   -113.06927811   -112.74232031
1.7   2.70   -113.06764676   -112.76070521   -113.06625624   -112.76209572
1.7   2.80   -113.06233625   -112.78026210   -113.06080661   -112.78179173
1.7   2.90   -113.05543643   -112.79869572   -113.05376779   -112.80036435
1.7   3.00   -113.04756673   -112.81556760   -113.04576403   -112.81737029
1.7   3.10   -113.03918179   -112.83074878   -113.03720685   -112.83272371
1.7   3.20   -113.03061205   -112.84426197   -113.02850966   -112.84636436
1.7   3.30   -113.02209477   -112.85620225   -113.01985602   -112.85844100
1.7   3.40   -113.01379766   -112.86669591   -113.01142068   -112.86907289
1.7   3.50   -113.00583698   -112.87587910   -113.00331915   -112.87839693
1.7   3.60   -112.99829111   -112.88388658   -112.99562753   -112.88655015
1.7   3.70   -112.99121059   -112.89084598   -112.98839608   -112.89366049
1.7   3.80   -112.98462540   -112.89687502   -112.98165346   -112.89984696
1.7   3.90   -112.97855017   -112.90208044   -112.97541268   -112.90521793
1.7   4.00   -112.97298793   -112.90655790   -112.96967509   -112.90987074
1.7   4.10   -112.96793298   -112.91039240   -112.96443405   -112.91389132
1.7   4.20   -112.96337296   -112.91365898   -112.95967152   -112.91736042
1.7   4.40   -112.95566516   -112.91874310   -112.95149966   -112.92290860
1.7   4.60   -112.94969043   -112.92223961   -112.94495438   -112.92697566
1.7   4.80   -112.94524739   -112.92446949   -112.93979516   -112.92992172
1.7   5.00   -112.94211714   -112.92568428   -112.93578238   -112.93201904
1.7   5.20   -112.94004841   -112.92611890   -112.93348485   -112.93268246
1.7   5.40   -112.93875082   -112.92602411   -112.93448073   -112.93029421
1.7   5.60   -112.93794088   -112.92563676   -112.93512983   -112.92844781
1.7   5.80   -112.93740455   -112.92512880   -112.93552568   -112.92700767
1.7   6.00   -112.93701363   -112.92459907   -112.93574090   -112.92587180
1.7   7.00   -112.93591817   -112.92266404   -112.93571873   -112.92286349
1.7   8.00   -112.93554212   -112.92193001   -112.93551082   -112.92196131
1.7   9.00   -112.93542033   -112.92176522   -112.93541577   -112.92176978
1.7  10.00   -112.93537033   -112.92179321   -112.93536975   -112.92179379
1.7  12.00   -112.93532911   -112.92193339   -112.93532911   -112.92193340
